ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-03-05 05:00:00,10.4339988125,-25.651145117901986,63.13254289881703,10.4339988125,10.4339988125,8.426281678056055,8.426281678056055,8.426281678056055,8.426281678056055,8.426281678056055,8.426281678056055,0.0,0.0,0.0,18.860280490556057
2023-03-06 05:00:00,10.31365741857143,-36.47920504918059,48.60501482590304,10.31365741857143,10.31365741857143,-4.7735520842618975,-4.7735520842618975,-4.7735520842618975,-4.7735520842618975,-4.7735520842618975,-4.7735520842618975,0.0,0.0,0.0,5.540105334309532
2023-03-07 05:00:00,10.193316024642858,-37.36092585849097,49.99896078219056,10.193316024642858,10.193316024642858,-5.2080058275169545,-5.2080058275169545,-5.2080058275169545,-5.2080058275169545,-5.2080058275169545,-5.2080058275169545,0.0,0.0,0.0,4.985310197125903
2023-03-08 05:00:00,10.072974630714286,-38.21286246326003,50.197013532964704,10.072974630714286,10.072974630714286,-4.115366704624813,-4.115366704624813,-4.115366704624813,-4.115366704624813,-4.115366704624813,-4.115366704624813,0.0,0.0,0.0,5.957607926089474
2023-03-09 05:00:00,9.952633236785715,-36.81853643393006,48.37252103560861,9.952633236785715,9.952633236785715,-3.0034010532722304,-3.0034010532722304,-3.0034010532722304,-3.0034010532722304,-3.0034010532722304,-3.0034010532722304,0.0,0.0,0.0,6.949232183513485
2023-03-10 05:00:00,9.832291842857144,-33.12228227689956,52.904035244232176,9.832291842857144,9.832291842857144,0.21708114809103835,0.21708114809103835,0.21708114809103835,0.21708114809103835,0.21708114809103835,0.21708114809103835,0.0,0.0,0.0,10.049372990948182
2023-03-11 05:00:00,9.711950448928572,-24.730486070701083,62.81011441214376,9.711950448928572,9.711950448928572,8.456962843513303,8.456962843513303,8.456962843513303,8.456962843513303,8.456962843513303,8.456962843513303,0.0,0.0,0.0,18.168913292441875
2023-03-12 05:00:00,9.591609055000001,-29.16915265809154,60.51054387238023,9.591609055000001,9.591609055000001,8.426281678050584,8.426281678050584,8.426281678050584,8.426281678050584,8.426281678050584,8.426281678050584,0.0,0.0,0.0,18.017890733050585
2023-03-13 05:00:00,9.471267661071428,-39.12303474860436,48.961902727286734,9.471267661071428,9.471267661071428,-4.773552084267251,-4.773552084267251,-4.773552084267251,-4.773552084267251,-4.773552084267251,-4.773552084267251,0.0,0.0,0.0,4.6977155768041765
2023-03-14 05:00:00,9.351224807142856,-40.25083907081029,49.08312915751527,9.351224807142856,9.351224807142856,-5.2080058275234515,-5.2080058275234515,-5.2080058275234515,-5.2080058275234515,-5.2080058275234515,-5.2080058275234515,0.0,0.0,0.0,4.143218979619404
2023-03-15 05:00:00,9.231181953214286,-36.0332819002566,47.66894101012846,9.231181953214286,9.231181953214286,-4.115366704622203,-4.115366704622203,-4.115366704622203,-4.115366704622203,-4.115366704622203,-4.115366704622203,0.0,0.0,0.0,5.1158152485920825
2023-03-16 05:00:00,9.111139099285712,-37.88432658289332,47.80310697100059,9.111139099285712,9.111139099285712,-3.003401053266007,-3.003401053266007,-3.003401053266007,-3.003401053266007,-3.003401053266007,-3.003401053266007,0.0,0.0,0.0,6.107738046019705
2023-03-17 05:00:00,8.991096245357141,-31.516056388378566,54.33033383447515,8.991096245357141,8.991096245357141,0.21708114809002813,0.21708114809002813,0.21708114809002813,0.21708114809002813,0.21708114809002813,0.21708114809002813,0.0,0.0,0.0,9.20817739344717
2023-03-18 05:00:00,8.871053391428571,-23.06836374796751,61.115411172082425,8.871053391428571,8.871053391428571,8.456962843515896,8.456962843515896,8.456962843515896,8.456962843515896,8.456962843515896,8.456962843515896,0.0,0.0,0.0,17.328016234944467
2023-03-19 05:00:00,8.7510105375,-24.97571025734159,59.0083542100117,8.7510105375,8.7510105375,8.42628167808198,8.42628167808198,8.42628167808198,8.42628167808198,8.42628167808198,8.42628167808198,0.0,0.0,0.0,17.17729221558198
2023-03-20 05:00:00,8.630967683571427,-39.98783342364919,50.707675909343806,8.630967683571427,8.630967683571427,-4.773552084275824,-4.773552084275824,-4.773552084275824,-4.773552084275824,-4.773552084275824,-4.773552084275824,0.0,0.0,0.0,3.857415599295603
2023-03-21 05:00:00,8.510924829642857,-39.29976877987673,44.85357972021982,8.510924829642857,8.510924829642857,-5.20800582752462,-5.20800582752462,-5.20800582752462,-5.20800582752462,-5.20800582752462,-5.20800582752462,0.0,0.0,0.0,3.3029190021182364
2023-03-22 05:00:00,8.390881975714285,-39.539089916729495,48.070570030628794,8.390881975714285,8.390881975714285,-4.115366704625654,-4.115366704625654,-4.115366704625654,-4.115366704625654,-4.115366704625654,-4.115366704625654,0.0,0.0,0.0,4.275515271088631
2023-03-23 05:00:00,8.270839121785713,-40.86744792764605,46.320199161683945,8.270839121785713,8.270839121785713,-3.003401053268235,-3.003401053268235,-3.003401053268235,-3.003401053268235,-3.003401053268235,-3.003401053268235,0.0,0.0,0.0,5.267438068517478
2023-03-24 05:00:00,8.194185710714285,-35.69828349250333,52.79962027595532,8.194185710714285,8.194185710714285,0.21708114808901796,0.21708114808901796,0.21708114808901796,0.21708114808901796,0.21708114808901796,0.21708114808901796,0.0,0.0,0.0,8.411266858803303
2023-03-25 05:00:00,8.117532299642855,-25.17684040730475,58.63550207846611,8.117532299642855,8.117532299642855,8.45696284352656,8.45696284352656,8.45696284352656,8.45696284352656,8.45696284352656,8.45696284352656,0.0,0.0,0.0,16.574495143169415
2023-03-26 05:00:00,8.040878888571427,-27.073221831605775,58.97982331830381,8.040878888571427,8.040878888571427,8.426281678076506,8.426281678076506,8.426281678076506,8.426281678076506,8.426281678076506,8.426281678076506,0.0,0.0,0.0,16.467160566647934
2023-03-27 05:00:00,7.9642254774999985,-42.31047819966256,49.33457246901079,7.9642254774999985,7.9642254774999985,-4.773552084281178,-4.773552084281178,-4.773552084281178,-4.773552084281178,-4.773552084281178,-4.773552084281178,0.0,0.0,0.0,3.1906733932188205
2023-03-28 05:00:00,7.88757206642857,-43.896158835597376,44.726133365262285,7.88757206642857,7.88757206642857,-5.2080058275208465,-5.2080058275208465,-5.2080058275208465,-5.2080058275208465,-5.2080058275208465,-5.2080058275208465,0.0,0.0,0.0,2.6795662389077233
2023-03-29 05:00:00,7.810918655357142,-42.84200146733438,50.29905249631085,7.810918655357142,7.810918655357142,-4.115366704623042,-4.115366704623042,-4.115366704623042,-4.115366704623042,-4.115366704623042,-4.115366704623042,0.0,0.0,0.0,3.6955519507340995
2023-03-30 05:00:00,7.734265244285712,-41.382911188742696,51.52100444537781,7.734265244285712,7.734265244285712,-3.0034010532687865,-3.0034010532687865,-3.0034010532687865,-3.0034010532687865,-3.0034010532687865,-3.0034010532687865,0.0,0.0,0.0,4.730864191016925
2023-03-31 05:00:00,7.657611833214285,-34.708966483228245,52.332621137427694,7.657611833214285,7.657611833214285,0.21708114808207987,0.21708114808207987,0.21708114808207987,0.21708114808207987,0.21708114808207987,0.21708114808207987,0.0,0.0,0.0,7.8746929812963655
2023-04-01 05:00:00,7.580958422142855,-26.691522399245493,59.267482653469486,7.580958422142855,7.580958422142855,8.456962843521083,8.456962843521083,8.456962843521083,8.456962843521083,8.456962843521083,8.456962843521083,0.0,0.0,0.0,16.03792126566394
2023-04-02 05:00:00,7.504305011071428,-27.509584944279677,59.734267283271116,7.504305011071428,7.504305011071428,8.426281678065665,8.426281678065665,8.426281678065665,8.426281678065665,8.426281678065665,8.426281678065665,0.0,0.0,0.0,15.930586689137094
2023-04-03 05:00:00,7.427651599999999,-40.60157456449209,49.49708005415354,7.427651599999999,7.427651599999999,-4.7735520842881405,-4.7735520842881405,-4.7735520842881405,-4.7735520842881405,-4.7735520842881405,-4.7735520842881405,0.0,0.0,0.0,2.6540995157118585
2023-04-04 05:00:00,7.432770292499998,-39.971373152708836,43.84550230071194,7.432770292499998,7.432770292499998,-5.208005827529816,-5.208005827529816,-5.208005827529816,-5.208005827529816,-5.208005827529816,-5.208005827529816,0.0,0.0,0.0,2.224764464970182
2023-04-05 05:00:00,7.437888984999998,-44.03819096407439,45.03799091788218,7.437888984999998,7.437888984999998,-4.115366704626492,-4.115366704626492,-4.115366704626492,-4.115366704626492,-4.115366704626492,-4.115366704626492,0.0,0.0,0.0,3.322522280373506
2023-04-06 05:00:00,7.443007677499999,-37.995085135840675,50.303323508570045,7.443007677499999,7.443007677499999,-3.0034010532710145,-3.0034010532710145,-3.0034010532710145,-3.0034010532710145,-3.0034010532710145,-3.0034010532710145,0.0,0.0,0.0,4.439606624228984
2023-04-07 05:00:00,7.448126369999998,-34.36116710437746,50.040668610147,7.448126369999998,7.448126369999998,0.21708114809023568,0.21708114809023568,0.21708114809023568,0.21708114809023568,0.21708114809023568,0.21708114809023568,0.0,0.0,0.0,7.6652075180902335
